Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,calc_participation
07D,Fulton,4879.0,198.0,874.0,242.0,12.0,1326.0,173.0,1170.0,517.0,17.0,1877.0,11.0,28.0,7.0,0.0,46.0,3249.0,66.6
07E,Fulton,2247.0,54.0,338.0,166.0,3.0,561.0,43.0,586.0,478.0,3.0,1110.0,7.0,20.0,9.0,1.0,37.0,1708.0,76.0
07F,Fulton,3790.0,171.0,739.0,274.0,25.0,1209.0,105.0,962.0,528.0,9.0,1604.0,13.0,21.0,16.0,0.0,50.0,2863.0,75.5
07H,Fulton,2060.0,98.0,448.0,152.0,0.0,698.0,46.0,507.0,368.0,0.0,921.0,4.0,18.0,7.0,0.0,29.0,1648.0,80.0
07J,Fulton,3041.0,126.0,505.0,196.0,5.0,832.0,105.0,835.0,457.0,5.0,1402.0,7.0,25.0,9.0,2.0,43.0,2277.0,74.9
07M,Fulton,2401.0,70.0,304.0,96.0,0.0,470.0,107.0,535.0,345.0,0.0,987.0,6.0,17.0,7.0,0.0,30.0,1487.0,61.9
07N,Fulton,2139.0,40.0,128.0,50.0,2.0,220.0,111.0,594.0,335.0,7.0,1047.0,7.0,17.0,9.0,0.0,33.0,1300.0,60.8
08A,Fulton,3084.0,170.0,730.0,271.0,5.0,1176.0,92.0,735.0,352.0,5.0,1184.0,4.0,25.0,11.0,0.0,40.0,2400.0,77.8
08B,Fulton,3498.0,164.0,1042.0,313.0,1.0,1520.0,52.0,756.0,400.0,0.0,1208.0,11.0,27.0,12.0,0.0,50.0,2778.0,79.4
08C,Fulton,1500.0,65.0,561.0,169.0,0.0,795.0,20.0,216.0,164.0,0.0,400.0,1.0,5.0,6.0,0.0,12.0,1207.0,80.5
08D,Fulton,1073.0,39.0,403.0,124.0,12.0,578.0,6.0,162.0,122.0,6.0,296.0,2.0,6.0,5.0,0.0,13.0,887.0,82.7
08E,Fulton,2568.0,120.0,831.0,295.0,3.0,1249.0,36.0,475.0,392.0,0.0,903.0,0.0,14.0,8.0,0.0,22.0,2174.0,84.7
08F1,Fulton,2187.0,121.0,803.0,256.0,3.0,1183.0,24.0,390.0,249.0,1.0,664.0,3.0,17.0,2.0,0.0,22.0,1869.0,85.5
08G,Fulton,3086.0,112.0,463.0,232.0,0.0,807.0,103.0,586.0,470.0,5.0,1164.0,3.0,22.0,20.0,0.0,45.0,2016.0,65.3
08H,Fulton,2556.0,104.0,763.0,306.0,3.0,1176.0,33.0,474.0,394.0,0.0,901.0,4.0,16.0,4.0,0.0,24.0,2101.0,82.2
08J,Fulton,3344.0,152.0,823.0,228.0,4.0,1207.0,80.0,916.0,388.0,5.0,1389.0,12.0,23.0,12.0,0.0,47.0,2643.0,79.0
08K,Fulton,1049.0,70.0,176.0,63.0,0.0,309.0,29.0,301.0,178.0,0.0,508.0,3.0,14.0,5.0,0.0,22.0,839.0,80.0
08L,Fulton,4505.0,159.0,692.0,207.0,6.0,1064.0,133.0,1243.0,739.0,17.0,2132.0,17.0,37.0,24.0,0.0,78.0,3274.0,72.7
08M,Fulton,2295.0,144.0,712.0,226.0,5.0,1087.0,54.0,408.0,223.0,3.0,688.0,5.0,10.0,5.0,0.0,20.0,1795.0,78.2
08N1,Fulton,824.0,29.0,270.0,103.0,1.0,403.0,9.0,150.0,101.0,2.0,262.0,1.0,4.0,1.0,0.0,6.0,671.0,81.4
08N2,Fulton,1616.0,48.0,303.0,161.0,1.0,513.0,43.0,377.0,246.0,1.0,667.0,4.0,8.0,10.0,0.0,22.0,1202.0,74.4
08P,Fulton,1887.0,39.0,115.0,54.0,4.0,212.0,105.0,577.0,207.0,6.0,895.0,7.0,23.0,4.0,1.0,35.0,1142.0,60.5
09A,Fulton,3856.0,82.0,464.0,119.0,3.0,668.0,143.0,1334.0,533.0,5.0,2015.0,12.0,31.0,25.0,1.0,69.0,2752.0,71.4
09B,Fulton,464.0,2.0,2.0,2.0,0.0,6.0,27.0,80.0,65.0,0.0,172.0,1.0,2.0,0.0,0.0,3.0,181.0,39.0
09C,Fulton,3353.0,18.0,28.0,14.0,1.0,61.0,250.0,857.0,441.0,26.0,1574.0,12.0,15.0,13.0,0.0,40.0,1675.0,50.0
09D,Fulton,2299.0,11.0,18.0,12.0,0.0,41.0,218.0,428.0,277.0,10.0,933.0,7.0,10.0,9.0,0.0,26.0,1000.0,43.5
09E,Fulton,3261.0,35.0,71.0,20.0,2.0,128.0,245.0,921.0,305.0,3.0,1474.0,9.0,21.0,7.0,0.0,37.0,1639.0,50.3
09F,Fulton,3917.0,112.0,779.0,267.0,6.0,1164.0,106.0,1095.0,549.0,0.0,1750.0,11.0,31.0,10.0,1.0,53.0,2967.0,75.7
09G,Fulton,3943.0,129.0,362.0,146.0,6.0,643.0,168.0,1352.0,567.0,8.0,2095.0,13.0,39.0,17.0,1.0,70.0,2808.0,71.2
09H,Fulton,1185.0,19.0,48.0,20.0,0.0,87.0,63.0,387.0,151.0,1.0,602.0,7.0,12.0,5.0,0.0,24.0,713.0,60.2
09I,Fulton,1397.0,11.0,22.0,1.0,0.0,34.0,130.0,244.0,173.0,1.0,548.0,9.0,6.0,3.0,1.0,19.0,601.0,43.0
09K,Fulton,4002.0,13.0,50.0,16.0,0.0,79.0,252.0,835.0,457.0,11.0,1555.0,16.0,36.0,9.0,0.0,61.0,1695.0,42.4
09K1,Fulton,1518.0,6.0,15.0,3.0,0.0,24.0,101.0,306.0,38.0,2.0,447.0,7.0,8.0,1.0,0.0,16.0,487.0,32.1
09M,Fulton,2578.0,41.0,245.0,62.0,0.0,348.0,88.0,1093.0,334.0,0.0,1515.0,6.0,46.0,7.0,0.0,59.0,1922.0,74.6
10A,Fulton,3186.0,12.0,30.0,10.0,0.0,52.0,235.0,944.0,517.0,16.0,1712.0,5.0,19.0,11.0,0.0,35.0,1799.0,56.5
10B,Fulton,3965.0,13.0,41.0,17.0,1.0,72.0,224.0,1471.0,853.0,9.0,2557.0,7.0,26.0,11.0,0.0,44.0,2673.0,67.4
10C,Fulton,2598.0,10.0,12.0,12.0,0.0,34.0,125.0,681.0,295.0,15.0,1116.0,10.0,21.0,2.0,1.0,34.0,1184.0,45.6
10D,Fulton,4968.0,30.0,30.0,21.0,13.0,94.0,283.0,1126.0,519.0,135.0,2063.0,14.0,32.0,8.0,6.0,60.0,2217.0,44.6
10E,Fulton,1084.0,5.0,15.0,9.0,0.0,29.0,90.0,289.0,175.0,3.0,557.0,4.0,5.0,2.0,0.0,11.0,597.0,55.1
10F,Fulton,1208.0,8.0,12.0,4.0,0.0,24.0,119.0,304.0,197.0,13.0,633.0,2.0,5.0,0.0,1.0,8.0,665.0,55.0
10G,Fulton,1332.0,13.0,15.0,5.0,0.0,33.0,91.0,507.0,231.0,3.0,832.0,2.0,6.0,9.0,1.0,18.0,883.0,66.3
10H1,Fulton,439.0,1.0,5.0,1.0,0.0,7.0,26.0,151.0,75.0,14.0,266.0,2.0,1.0,2.0,0.0,5.0,278.0,63.3
10H2,Fulton,2623.0,7.0,21.0,11.0,0.0,39.0,171.0,535.0,314.0,13.0,1033.0,6.0,22.0,11.0,0.0,39.0,1111.0,42.4
10I,Fulton,331.0,4.0,6.0,1.0,0.0,11.0,12.0,157.0,87.0,0.0,256.0,1.0,1.0,0.0,0.0,2.0,269.0,81.3
10J,Fulton,1238.0,10.0,6.0,6.0,0.0,22.0,143.0,186.0,122.0,12.0,463.0,3.0,6.0,4.0,0.0,13.0,498.0,40.2
10K,Fulton,1614.0,8.0,31.0,6.0,0.0,45.0,100.0,548.0,298.0,4.0,950.0,9.0,13.0,0.0,0.0,22.0,1017.0,63.0
10M,Fulton,2880.0,9.0,27.0,18.0,0.0,54.0,236.0,854.0,411.0,12.0,1513.0,14.0,14.0,11.0,1.0,40.0,1607.0,55.8
10P,Fulton,1607.0,11.0,11.0,6.0,0.0,28.0,137.0,330.0,228.0,4.0,699.0,8.0,6.0,6.0,1.0,21.0,748.0,46.5
10R,Fulton,928.0,3.0,7.0,3.0,1.0,14.0,97.0,193.0,74.0,11.0,375.0,4.0,8.0,1.0,2.0,15.0,404.0,43.5
11B,Fulton,4395.0,17.0,40.0,14.0,4.0,75.0,326.0,1328.0,812.0,33.0,2499.0,10.0,16.0,11.0,0.0,37.0,2611.0,59.4
11B1,Fulton,894.0,6.0,8.0,1.0,0.0,15.0,71.0,289.0,27.0,5.0,392.0,1.0,5.0,0.0,0.0,6.0,413.0,46.2
11C,Fulton,3149.0,11.0,26.0,9.0,0.0,46.0,155.0,1333.0,569.0,13.0,2070.0,6.0,24.0,3.0,0.0,33.0,2149.0,68.2
11E1,Fulton,1340.0,13.0,19.0,6.0,3.0,41.0,110.0,382.0,161.0,17.0,670.0,5.0,6.0,3.0,0.0,14.0,725.0,54.1
11E2,Fulton,1003.0,6.0,9.0,3.0,0.0,18.0,73.0,338.0,154.0,4.0,569.0,4.0,7.0,4.0,0.0,15.0,602.0,60.0
11E3,Fulton,3605.0,12.0,39.0,5.0,3.0,59.0,265.0,1350.0,335.0,14.0,1964.0,8.0,18.0,3.0,0.0,29.0,2052.0,56.9
11G,Fulton,2556.0,8.0,33.0,10.0,3.0,54.0,107.0,466.0,301.0,27.0,901.0,8.0,15.0,7.0,2.0,32.0,987.0,38.6
11H,Fulton,753.0,6.0,7.0,7.0,0.0,20.0,45.0,184.0,127.0,5.0,361.0,5.0,3.0,4.0,0.0,12.0,393.0,52.2
11J,Fulton,2092.0,13.0,20.0,8.0,2.0,43.0,172.0,503.0,319.0,19.0,1013.0,8.0,13.0,7.0,3.0,31.0,1087.0,52.0
11K,Fulton,2045.0,9.0,22.0,11.0,4.0,46.0,139.0,612.0,381.0,9.0,1141.0,6.0,13.0,6.0,1.0,26.0,1213.0,59.3
11M,Fulton,1380.0,8.0,8.0,4.0,1.0,21.0,98.0,571.0,357.0,10.0,1036.0,4.0,5.0,1.0,0.0,10.0,1067.0,77.3
11M1,Fulton,2190.0,10.0,24.0,0.0,2.0,36.0,132.0,517.0,56.0,24.0,729.0,5.0,11.0,0.0,1.0,17.0,782.0,35.7
11N,Fulton,2431.0,11.0,27.0,19.0,2.0,59.0,184.0,802.0,426.0,2.0,1414.0,9.0,14.0,9.0,0.0,32.0,1505.0,61.9
11P,Fulton,2095.0,5.0,11.0,13.0,3.0,32.0,129.0,548.0,372.0,11.0,1060.0,4.0,9.0,14.0,1.0,28.0,1120.0,53.5
11R,Fulton,2253.0,6.0,16.0,6.0,1.0,29.0,117.0,450.0,222.0,5.0,794.0,4.0,8.0,9.0,0.0,21.0,844.0,37.5
12A,Fulton,4971.0,40.0,95.0,35.0,2.0,172.0,276.0,1594.0,715.0,23.0,2608.0,9.0,39.0,19.0,2.0,69.0,2849.0,57.3
12A1,Fulton,690.0,6.0,13.0,2.0,2.0,23.0,34.0,300.0,19.0,6.0,359.0,6.0,8.0,3.0,0.0,17.0,399.0,57.8
12D,Fulton,1408.0,11.0,18.0,4.0,0.0,33.0,95.0,336.0,131.0,2.0,564.0,5.0,7.0,2.0,0.0,14.0,611.0,43.4
12E1,Fulton,1906.0,12.0,19.0,27.0,0.0,58.0,114.0,292.0,227.0,4.0,637.0,4.0,13.0,7.0,0.0,24.0,719.0,37.7
12F,Fulton,1229.0,6.0,17.0,4.0,0.0,27.0,110.0,289.0,85.0,2.0,486.0,4.0,7.0,0.0,0.0,11.0,524.0,42.6
12G,Fulton,885.0,3.0,11.0,12.0,0.0,26.0,57.0,182.0,174.0,1.0,414.0,0.0,2.0,2.0,0.0,4.0,444.0,50.2
12H1,Fulton,1170.0,3.0,12.0,6.0,0.0,21.0,94.0,167.0,71.0,12.0,344.0,6.0,6.0,2.0,0.0,14.0,379.0,32.4
12H2,Fulton,2998.0,18.0,18.0,11.0,0.0,47.0,274.0,683.0,381.0,10.0,1348.0,8.0,20.0,4.0,0.0,32.0,1427.0,47.6
12I,Fulton,1079.0,5.0,9.0,3.0,4.0,21.0,55.0,223.0,147.0,41.0,466.0,3.0,14.0,3.0,1.0,21.0,508.0,47.1
12J,Fulton,3154.0,18.0,27.0,10.0,3.0,58.0,246.0,702.0,331.0,29.0,1308.0,11.0,10.0,7.0,1.0,29.0,1395.0,44.2
12K,Fulton,3620.0,14.0,54.0,21.0,4.0,93.0,194.0,923.0,351.0,8.0,1476.0,11.0,37.0,9.0,0.0,57.0,1626.0,44.9
12L,Fulton,774.0,0.0,10.0,3.0,1.0,14.0,56.0,133.0,65.0,4.0,258.0,2.0,2.0,5.0,0.0,9.0,281.0,36.3
12M,Fulton,2990.0,22.0,17.0,7.0,2.0,48.0,343.0,625.0,299.0,21.0,1288.0,16.0,19.0,7.0,2.0,44.0,1380.0,46.2
12N,Fulton,1134.0,6.0,5.0,5.0,1.0,17.0,91.0,218.0,77.0,11.0,397.0,4.0,6.0,1.0,1.0,12.0,426.0,37.6
12S,Fulton,2079.0,10.0,15.0,5.0,1.0,31.0,163.0,567.0,233.0,14.0,977.0,3.0,11.0,7.0,0.0,21.0,1029.0,49.5
AP01A,Fulton,5236.0,178.0,1355.0,471.0,0.0,2004.0,119.0,1191.0,724.0,4.0,2038.0,10.0,22.0,26.0,0.0,58.0,4100.0,78.3
AP01B,Fulton,1281.0,58.0,252.0,96.0,5.0,411.0,38.0,279.0,139.0,4.0,460.0,5.0,13.0,6.0,1.0,25.0,896.0,69.9
AP01C,Fulton,2409.0,79.0,697.0,177.0,7.0,960.0,50.0,518.0,314.0,5.0,887.0,15.0,21.0,5.0,0.0,41.0,1888.0,78.4
AP01D,Fulton,1015.0,31.0,189.0,66.0,0.0,286.0,37.0,214.0,125.0,0.0,376.0,3.0,8.0,8.0,0.0,19.0,681.0,67.1
AP021,Fulton,3408.0,163.0,915.0,234.0,1.0,1313.0,101.0,768.0,324.0,3.0,1196.0,10.0,38.0,16.0,0.0,64.0,2573.0,75.5
AP022,Fulton,2507.0,86.0,501.0,203.0,0.0,790.0,95.0,500.0,343.0,0.0,938.0,6.0,24.0,12.0,0.0,42.0,1770.0,70.6
AP02B,Fulton,677.0,28.0,90.0,89.0,5.0,212.0,10.0,129.0,117.0,4.0,260.0,2.0,5.0,4.0,0.0,11.0,483.0,71.3
AP03,Fulton,775.0,26.0,54.0,13.0,1.0,94.0,72.0,183.0,56.0,5.0,316.0,7.0,3.0,4.0,1.0,15.0,425.0,54.8
AP04A,Fulton,1760.0,80.0,504.0,224.0,5.0,813.0,41.0,347.0,211.0,4.0,603.0,8.0,15.0,6.0,0.0,29.0,1445.0,82.1
AP04B,Fulton,473.0,40.0,152.0,24.0,0.0,216.0,6.0,106.0,58.0,4.0,174.0,1.0,7.0,1.0,2.0,11.0,401.0,84.8
AP05,Fulton,4776.0,279.0,1235.0,461.0,6.0,1981.0,99.0,1019.0,639.0,5.0,1762.0,5.0,30.0,15.0,1.0,51.0,3794.0,79.4
AP06,Fulton,1967.0,117.0,647.0,170.0,14.0,948.0,42.0,360.0,217.0,0.0,619.0,6.0,19.0,5.0,0.0,30.0,1597.0,81.2
AP07A,Fulton,3910.0,185.0,899.0,303.0,11.0,1398.0,112.0,782.0,464.0,9.0,1367.0,12.0,41.0,19.0,8.0,80.0,2845.0,72.8
AP07B,Fulton,1882.0,82.0,534.0,173.0,11.0,800.0,55.0,423.0,218.0,8.0,704.0,4.0,11.0,7.0,1.0,23.0,1527.0,81.1
AP09A,Fulton,4437.0,207.0,995.0,365.0,6.0,1573.0,134.0,1054.0,601.0,6.0,1795.0,23.0,37.0,19.0,0.0,79.0,3447.0,77.7
AP09B,Fulton,925.0,43.0,167.0,43.0,0.0,253.0,19.0,245.0,167.0,2.0,433.0,1.0,11.0,3.0,0.0,15.0,701.0,75.8
AP10,Fulton,992.0,44.0,335.0,99.0,23.0,501.0,22.0,175.0,89.0,11.0,297.0,8.0,9.0,5.0,3.0,25.0,823.0,83.0
AP12A,Fulton,746.0,29.0,121.0,36.0,2.0,188.0,38.0,173.0,81.0,12.0,304.0,1.0,8.0,4.0,0.0,13.0,505.0,67.7
AP12B,Fulton,947.0,25.0,100.0,66.0,4.0,195.0,50.0,211.0,123.0,3.0,387.0,4.0,10.0,2.0,1.0,17.0,599.0,63.3
AP12C,Fulton,2367.0,96.0,694.0,195.0,11.0,996.0,59.0,458.0,196.0,6.0,719.0,8.0,23.0,4.0,1.0,36.0,1751.0,74.0
AP14,Fulton,3232.0,99.0,846.0,269.0,6.0,1220.0,65.0,753.0,501.0,3.0,1322.0,11.0,24.0,20.0,0.0,55.0,2597.0,80.4
CH01,Fulton,376.0,14.0,29.0,14.0,1.0,58.0,8.0,100.0,35.0,3.0,146.0,1.0,4.0,1.0,0.0,6.0,210.0,55.9
CH02,Fulton,338.0,33.0,81.0,33.0,0.0,147.0,14.0,49.0,34.0,0.0,97.0,1.0,2.0,1.0,0.0,4.0,248.0,73.4
CH03,Fulton,410.0,52.0,117.0,34.0,0.0,203.0,13.0,60.0,23.0,0.0,96.0,3.0,5.0,1.0,0.0,9.0,308.0,75.1
CH04A,Fulton,825.0,47.0,226.0,67.0,0.0,340.0,16.0,212.0,89.0,0.0,317.0,1.0,9.0,3.0,0.0,13.0,670.0,81.2
CH05,Fulton,429.0,46.0,136.0,49.0,0.0,231.0,7.0,46.0,36.0,0.0,89.0,2.0,4.0,4.0,0.0,10.0,330.0,76.9
CP011,Fulton,1353.0,21.0,98.0,28.0,1.0,148.0,80.0,359.0,149.0,8.0,596.0,7.0,10.0,2.0,1.0,20.0,764.0,56.5
CP012,Fulton,1469.0,10.0,116.0,28.0,1.0,155.0,79.0,479.0,189.0,5.0,752.0,3.0,13.0,6.0,0.0,22.0,929.0,63.2
CP01B,Fulton,422.0,8.0,48.0,15.0,0.0,71.0,16.0,121.0,36.0,1.0,174.0,2.0,4.0,3.0,0.0,9.0,254.0,60.2
CP02,Fulton,1208.0,13.0,44.0,18.0,0.0,75.0,74.0,350.0,155.0,1.0,580.0,6.0,7.0,5.0,0.0,18.0,673.0,55.7
CP04A,Fulton,13.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,30.8
CP04B,Fulton,38.0,0.0,1.0,1.0,0.0,2.0,2.0,6.0,7.0,0.0,15.0,0.0,1.0,1.0,0.0,2.0,19.0,50.0
CP051,Fulton,1756.0,7.0,17.0,9.0,0.0,33.0,139.0,527.0,251.0,0.0,917.0,8.0,12.0,0.0,0.0,20.0,970.0,55.2
CP05B,Fulton,153.0,2.0,2.0,1.0,0.0,5.0,17.0,40.0,10.0,4.0,71.0,1.0,0.0,0.0,1.0,2.0,78.0,51.0
CP06A,Fulton,732.0,5.0,8.0,1.0,1.0,15.0,50.0,128.0,38.0,0.0,216.0,1.0,3.0,1.0,0.0,5.0,236.0,32.2
CP07B,Fulton,7.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,57.1
CP07C,Fulton,323.0,1.0,1.0,0.0,0.0,2.0,17.0,42.0,10.0,0.0,69.0,0.0,2.0,0.0,0.0,2.0,73.0,22.6
CP07D,Fulton,790.0,3.0,6.0,3.0,0.0,12.0,56.0,122.0,35.0,0.0,213.0,5.0,3.0,2.0,0.0,10.0,235.0,29.7
CP07E,Fulton,127.0,0.0,1.0,0.0,0.0,1.0,18.0,18.0,3.0,0.0,39.0,1.0,1.0,0.0,0.0,2.0,42.0,33.1
CP07F,Fulton,266.0,1.0,1.0,0.0,0.0,2.0,20.0,35.0,5.0,0.0,60.0,2.0,1.0,0.0,0.0,3.0,65.0,24.4
CP081,Fulton,373.0,5.0,3.0,0.0,0.0,8.0,29.0,52.0,12.0,5.0,98.0,2.0,1.0,1.0,0.0,4.0,110.0,29.5
CP083,Fulton,240.0,2.0,1.0,0.0,0.0,3.0,11.0,20.0,3.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,37.0,15.4
CP084,Fulton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP08A,Fulton,756.0,7.0,2.0,1.0,0.0,10.0,59.0,82.0,25.0,0.0,166.0,1.0,3.0,2.0,0.0,6.0,182.0,24.1
EP01A,Fulton,2978.0,26.0,91.0,30.0,2.0,149.0,171.0,928.0,333.0,13.0,1445.0,10.0,33.0,5.0,0.0,48.0,1642.0,55.1
EP01B,Fulton,3473.0,29.0,69.0,28.0,0.0,126.0,198.0,920.0,438.0,9.0,1565.0,9.0,31.0,11.0,1.0,52.0,1743.0,50.2
EP02A,Fulton,2407.0,14.0,28.0,20.0,3.0,65.0,149.0,545.0,292.0,16.0,1002.0,6.0,13.0,8.0,0.0,27.0,1094.0,45.5
EP02B,Fulton,1679.0,20.0,98.0,43.0,0.0,161.0,83.0,610.0,269.0,1.0,963.0,2.0,13.0,5.0,0.0,20.0,1144.0,68.1
EP02C,Fulton,522.0,6.0,28.0,9.0,0.0,43.0,15.0,180.0,62.0,0.0,257.0,1.0,6.0,4.0,0.0,11.0,311.0,59.6
EP02D,Fulton,420.0,4.0,5.0,1.0,0.0,10.0,29.0,156.0,49.0,0.0,234.0,0.0,0.0,1.0,0.0,1.0,245.0,58.3
EP02E,Fulton,1668.0,6.0,35.0,9.0,0.0,50.0,103.0,419.0,156.0,0.0,678.0,3.0,18.0,8.0,0.0,29.0,757.0,45.4
EP03A,Fulton,4925.0,40.0,77.0,53.0,0.0,170.0,291.0,1539.0,790.0,8.0,2628.0,10.0,27.0,18.0,0.0,55.0,2853.0,57.9
EP03B,Fulton,1547.0,10.0,41.0,12.0,0.0,63.0,68.0,595.0,338.0,5.0,1006.0,4.0,7.0,1.0,0.0,12.0,1081.0,69.9
EP04A,Fulton,5020.0,33.0,47.0,21.0,1.0,102.0,510.0,1320.0,649.0,34.0,2513.0,15.0,21.0,12.0,1.0,49.0,2664.0,53.1
EP04B,Fulton,2624.0,8.0,25.0,4.0,1.0,38.0,148.0,1059.0,268.0,9.0,1484.0,4.0,12.0,7.0,0.0,23.0,1545.0,58.9
EP04C,Fulton,1318.0,0.0,15.0,1.0,1.0,17.0,0.0,390.0,38.0,4.0,432.0,0.0,6.0,2.0,0.0,8.0,457.0,34.7
FA01A,Fulton,4032.0,44.0,160.0,69.0,0.0,273.0,219.0,1385.0,570.0,11.0,2185.0,9.0,28.0,17.0,3.0,57.0,2515.0,62.4
FA01B,Fulton,5860.0,5.0,237.0,95.0,1.0,338.0,25.0,2191.0,788.0,8.0,3012.0,2.0,40.0,17.0,0.0,59.0,3409.0,58.2
FA01C,Fulton,769.0,4.0,18.0,6.0,0.0,28.0,60.0,281.0,100.0,1.0,442.0,1.0,5.0,2.0,0.0,8.0,478.0,62.2
FA01D,Fulton,321.0,2.0,10.0,1.0,1.0,14.0,19.0,118.0,5.0,15.0,157.0,1.0,2.0,2.0,2.0,7.0,178.0,55.5
FC01,Fulton,325.0,3.0,2.0,0.0,0.0,5.0,19.0,125.0,23.0,2.0,169.0,2.0,4.0,2.0,0.0,8.0,182.0,56.0
FC02,Fulton,585.0,4.0,4.0,2.0,0.0,10.0,11.0,27.0,6.0,1.0,45.0,0.0,2.0,0.0,2.0,4.0,59.0,10.1
FC03,Fulton,17.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,17.0,100.0
HP01,Fulton,3824.0,145.0,299.0,98.0,1.0,543.0,268.0,878.0,417.0,7.0,1570.0,20.0,35.0,21.0,0.0,76.0,2189.0,57.2
JC01,Fulton,4128.0,197.0,757.0,306.0,5.0,1265.0,129.0,1085.0,898.0,4.0,2116.0,6.0,29.0,16.0,2.0,53.0,3434.0,83.2
JC01A,Fulton,1738.0,96.0,231.0,34.0,3.0,364.0,81.0,461.0,111.0,4.0,657.0,7.0,9.0,5.0,0.0,21.0,1042.0,60.0
JC02,Fulton,3001.0,123.0,535.0,248.0,2.0,908.0,105.0,639.0,494.0,4.0,1242.0,7.0,12.0,18.0,0.0,37.0,2187.0,72.9
JC03A,Fulton,594.0,36.0,147.0,27.0,2.0,212.0,14.0,190.0,60.0,3.0,267.0,0.0,4.0,3.0,0.0,7.0,486.0,81.8
JC03B,Fulton,1616.0,81.0,309.0,69.0,0.0,459.0,68.0,413.0,253.0,0.0,734.0,8.0,25.0,9.0,0.0,42.0,1235.0,76.4
JC04A,Fulton,3177.0,94.0,832.0,228.0,9.0,1163.0,46.0,840.0,500.0,8.0,1394.0,3.0,22.0,14.0,0.0,39.0,2596.0,81.7
JC04B,Fulton,334.0,10.0,50.0,26.0,0.0,86.0,5.0,90.0,43.0,0.0,138.0,1.0,3.0,0.0,0.0,4.0,228.0,68.3
JC04C,Fulton,1251.0,43.0,269.0,71.0,0.0,383.0,22.0,325.0,202.0,0.0,549.0,3.0,24.0,11.0,0.0,38.0,970.0,77.5
JC05,Fulton,2350.0,106.0,523.0,116.0,1.0,746.0,54.0,618.0,301.0,3.0,976.0,11.0,21.0,12.0,0.0,44.0,1766.0,75.1
JC06,Fulton,2840.0,153.0,616.0,246.0,4.0,1019.0,117.0,514.0,375.0,4.0,1010.0,13.0,15.0,6.0,0.0,34.0,2063.0,72.6
JC07,Fulton,4670.0,143.0,966.0,337.0,18.0,1464.0,102.0,1106.0,796.0,14.0,2018.0,13.0,36.0,19.0,1.0,69.0,3551.0,76.0
JC08,Fulton,2931.0,110.0,742.0,199.0,1.0,1052.0,72.0,706.0,403.0,4.0,1185.0,8.0,43.0,13.0,0.0,64.0,2301.0,78.5
JC09,Fulton,3250.0,135.0,632.0,201.0,4.0,972.0,109.0,810.0,437.0,2.0,1358.0,16.0,22.0,14.0,0.0,52.0,2382.0,73.3
JC10,Fulton,2641.0,116.0,451.0,142.0,9.0,718.0,82.0,683.0,421.0,8.0,1194.0,5.0,35.0,22.0,2.0,64.0,1976.0,74.8
JC11,Fulton,3497.0,174.0,955.0,297.0,0.0,1426.0,106.0,687.0,415.0,0.0,1208.0,12.0,37.0,13.0,0.0,62.0,2696.0,77.1
JC12,Fulton,2832.0,100.0,925.0,363.0,3.0,1391.0,33.0,428.0,363.0,2.0,826.0,2.0,21.0,9.0,0.0,32.0,2249.0,79.4
JC13A,Fulton,2317.0,99.0,806.0,233.0,1.0,1139.0,37.0,394.0,244.0,1.0,676.0,4.0,14.0,7.0,0.0,25.0,1840.0,79.4
JC13B,Fulton,282.0,8.0,123.0,35.0,1.0,167.0,2.0,36.0,25.0,0.0,63.0,0.0,2.0,0.0,0.0,2.0,232.0,82.3
JC14,Fulton,2608.0,82.0,811.0,223.0,1.0,1117.0,56.0,586.0,302.0,2.0,946.0,3.0,16.0,9.0,0.0,28.0,2091.0,80.2
JC15,Fulton,959.0,30.0,178.0,48.0,0.0,256.0,37.0,271.0,113.0,0.0,421.0,5.0,14.0,4.0,0.0,23.0,700.0,73.0
JC16,Fulton,2707.0,138.0,685.0,171.0,1.0,995.0,61.0,635.0,354.0,0.0,1050.0,6.0,36.0,12.0,0.0,54.0,2099.0,77.5
