Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,calc_participation
Flat Shoals Parkway,DeKalb,3449.0,22.0,46.0,9.0,0.0,77.0,191.0,1309.0,777.0,6.0,2283.0,5.0,12.0,3.0,0.0,20.0,2380.0,69.0
Flat Rock Elem,DeKalb,3142.0,24.0,49.0,21.0,1.0,95.0,237.0,1317.0,538.0,6.0,2098.0,5.0,8.0,1.0,1.0,15.0,2208.0,70.3
Flat Shoals,DeKalb,2649.0,21.0,26.0,8.0,1.0,56.0,179.0,648.0,466.0,7.0,1300.0,1.0,4.0,3.0,0.0,8.0,1364.0,51.5
Flakes Mill Fire Station,DeKalb,2103.0,10.0,34.0,26.0,1.0,71.0,112.0,741.0,433.0,6.0,1292.0,1.0,7.0,3.0,0.0,11.0,1374.0,65.3
Flat Shoals Library,DeKalb,2788.0,17.0,26.0,11.0,1.0,55.0,226.0,736.0,427.0,2.0,1391.0,8.0,4.0,4.0,0.0,16.0,1462.0,52.4
Freedom Middle,DeKalb,3227.0,55.0,75.0,63.0,0.0,193.0,265.0,850.0,557.0,11.0,1683.0,5.0,5.0,3.0,0.0,13.0,1889.0,58.5
Glennwood,DeKalb,2715.0,43.0,104.0,78.0,2.0,227.0,72.0,865.0,823.0,4.0,1764.0,7.0,10.0,11.0,0.0,28.0,2019.0,74.4
Glenhaven,DeKalb,1880.0,46.0,38.0,39.0,0.0,123.0,204.0,485.0,306.0,4.0,999.0,4.0,1.0,7.0,0.0,12.0,1134.0,60.3
Gresham Road,DeKalb,3601.0,23.0,54.0,36.0,2.0,115.0,210.0,1168.0,787.0,16.0,2181.0,5.0,14.0,9.0,0.0,28.0,2324.0,64.5
Georgetown Sq,DeKalb,4155.0,160.0,548.0,181.0,4.0,893.0,192.0,1142.0,598.0,7.0,1939.0,10.0,24.0,11.0,0.0,45.0,2877.0,69.2
Glenwood Road,DeKalb,2293.0,25.0,41.0,35.0,0.0,101.0,188.0,533.0,396.0,5.0,1122.0,6.0,5.0,3.0,0.0,14.0,1237.0,53.9
Hambrick Elem,DeKalb,3776.0,96.0,163.0,114.0,1.0,374.0,264.0,1067.0,605.0,11.0,1947.0,3.0,11.0,8.0,0.0,22.0,2343.0,62.0
Hawthorne Elem,DeKalb,3884.0,135.0,336.0,151.0,2.0,624.0,237.0,1111.0,681.0,5.0,2034.0,10.0,24.0,6.0,0.0,40.0,2698.0,69.5
Henderson Mill,DeKalb,3104.0,104.0,373.0,210.0,0.0,687.0,147.0,836.0,686.0,2.0,1671.0,8.0,16.0,17.0,0.0,41.0,2399.0,77.3
Huntley Hills Elem,DeKalb,3508.0,146.0,326.0,122.0,1.0,595.0,252.0,1059.0,503.0,5.0,1819.0,15.0,21.0,13.0,0.0,49.0,2463.0,70.2
