,Precinct,County,Registered Voters,Jody Hice (I) (Rep)_Election Day Votes,Jody Hice (I) (Rep)_Advanced Voting Votes,Jody Hice (I) (Rep)_Absentee by Mail Votes,Jody Hice (I) (Rep)_Provisional Votes,Jody Hice (I) (Rep)_Choice Total,Tabitha Johnson-Green (Dem)_Election Day Votes,Tabitha Johnson-Green (Dem)_Advanced Voting Votes,Tabitha Johnson-Green (Dem)_Absentee by Mail Votes,Tabitha Johnson-Green (Dem)_Provisional Votes,Tabitha Johnson-Green (Dem)_Choice Total,Total,calc_participation
174,132,McDuffie,1507.0,109.0,784.0,156.0,0.0,1049.0,11.0,47.0,53.0,0.0,111.0,1160.0,77.0
175,133A,McDuffie,1278.0,103.0,397.0,79.0,0.0,579.0,40.0,121.0,91.0,0.0,252.0,831.0,65.0
184,Beth/Springfield,Morgan,862.0,148.0,335.0,75.0,0.0,558.0,23.0,45.0,61.0,0.0,129.0,687.0,79.7
185,Central Morgan,Morgan,2761.0,210.0,1146.0,227.0,0.0,1583.0,80.0,298.0,180.0,0.0,558.0,2141.0,77.5
186,Clacks Chapel,Morgan,709.0,135.0,333.0,43.0,0.0,511.0,10.0,42.0,31.0,0.0,83.0,594.0,83.8
187,West Morgan,Morgan,2655.0,416.0,1134.0,166.0,0.0,1716.0,75.0,202.0,100.0,0.0,377.0,2093.0,78.8
188,North Morgan,Morgan,2690.0,465.0,938.0,214.0,1.0,1618.0,68.0,241.0,126.0,1.0,436.0,2054.0,76.4
182,Northeast Morgan,Morgan,2919.0,106.0,738.0,135.0,0.0,979.0,149.0,617.0,353.0,1.0,1120.0,2099.0,71.9
183,East Morgan,Morgan,2228.0,424.0,878.0,146.0,2.0,1450.0,57.0,195.0,106.0,0.0,358.0,1808.0,81.1
61,Rocky Plains,Newton,3658.0,492.0,449.0,207.0,0.0,1148.0,235.0,373.0,290.0,1.0,899.0,2047.0,56.0
60,Newborn,Newton,784.0,390.0,62.0,55.0,0.0,507.0,48.0,12.0,39.0,0.0,99.0,606.0,77.3
59,Mansfield,Newton,1524.0,775.0,167.0,132.0,0.0,1074.0,49.0,20.0,62.0,0.0,131.0,1205.0,79.1
58,Leguinn,Newton,2177.0,718.0,295.0,213.0,0.0,1226.0,120.0,113.0,158.0,0.0,391.0,1617.0,74.3
57,Brick Store,Newton,2623.0,757.0,431.0,287.0,0.0,1475.0,141.0,188.0,198.0,0.0,527.0,2002.0,76.3
56,Brewers,Newton,3538.0,1087.0,476.0,278.0,1.0,1842.0,210.0,210.0,233.0,1.0,654.0,2496.0,70.5
62,Hub,Newton,2374.0,867.0,422.0,311.0,0.0,1600.0,84.0,116.0,102.0,0.0,302.0,1902.0,80.1
55,Alcovy,Newton,4620.0,75.0,119.0,64.0,0.0,258.0,13.0,21.0,33.0,0.0,67.0,325.0,7.0
74,Farmington,Oconee,737.0,144.0,240.0,49.0,0.0,433.0,19.0,78.0,59.0,0.0,156.0,589.0,79.9
79,Bogart,Oconee,2384.0,300.0,833.0,225.0,0.0,1358.0,81.0,260.0,169.0,0.0,510.0,1868.0,78.4
80,Marswood Hall,Oconee,4091.0,277.0,1578.0,564.0,1.0,2420.0,66.0,512.0,459.0,0.0,1037.0,3457.0,84.5
81,East Oconee,Oconee,2647.0,121.0,953.0,245.0,0.0,1319.0,65.0,396.0,313.0,0.0,774.0,2093.0,79.1
