,Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,calc_participation
549,LAWRENCEVILLE G,Gwinnett,3046.0,274.0,783.0,385.0,1.0,1443.0,85.0,257.0,134.0,0.0,476.0,1919.0,63.0
550,LAWRENCEVILLE H,Gwinnett,4296.0,400.0,1139.0,634.0,3.0,2176.0,121.0,437.0,260.0,2.0,820.0,2996.0,69.7
551,MARTINS F,Gwinnett,2570.0,283.0,478.0,294.0,5.0,1060.0,82.0,136.0,117.0,1.0,336.0,1396.0,54.3
552,PINCKNEYVILLE S,Gwinnett,3374.0,374.0,676.0,474.0,5.0,1529.0,137.0,235.0,166.0,2.0,540.0,2069.0,61.3
553,ROCKBRIDGE E,Gwinnett,4638.0,408.0,1156.0,627.0,4.0,2195.0,125.0,324.0,209.0,0.0,658.0,2853.0,61.5
554,SUGAR HILL E,Gwinnett,3589.0,337.0,1044.0,469.0,3.0,1853.0,137.0,360.0,190.0,4.0,691.0,2544.0,70.9
555,LAWRENCEVILLE I,Gwinnett,3312.0,369.0,770.0,425.0,1.0,1565.0,108.0,241.0,165.0,1.0,515.0,2080.0,62.8
556,BAYCREEK D,Gwinnett,4609.0,341.0,1340.0,654.0,0.0,2335.0,153.0,522.0,264.0,0.0,939.0,3274.0,71.0
557,BERKSHIRE J,Gwinnett,2731.0,179.0,796.0,479.0,3.0,1457.0,94.0,322.0,216.0,1.0,633.0,2090.0,76.5
558,CATES M,Gwinnett,3988.0,306.0,1204.0,673.0,3.0,2186.0,127.0,445.0,308.0,0.0,880.0,3066.0,76.9
559,CATES N,Gwinnett,2567.0,262.0,676.0,431.0,0.0,1369.0,98.0,264.0,182.0,1.0,545.0,1914.0,74.6
560,DULUTH F,Gwinnett,6161.0,510.0,1356.0,827.0,16.0,2709.0,139.0,397.0,280.0,3.0,819.0,3528.0,57.3
561,DULUTH G,Gwinnett,3067.0,301.0,682.0,507.0,1.0,1491.0,136.0,301.0,229.0,2.0,668.0,2159.0,70.4
562,GOODWINS E,Gwinnett,5491.0,531.0,1358.0,837.0,1.0,2727.0,192.0,493.0,304.0,1.0,990.0,3717.0,67.7
563,GOODWINS F,Gwinnett,3212.0,274.0,767.0,501.0,0.0,1542.0,96.0,278.0,198.0,0.0,572.0,2114.0,65.8
565,SUWANEE B,Gwinnett,4656.0,265.0,1480.0,675.0,0.0,2420.0,106.0,568.0,322.0,0.0,996.0,3416.0,73.4
584,BERKSHIRE O,Gwinnett,2589.0,244.0,670.0,475.0,2.0,1391.0,69.0,257.0,168.0,1.0,495.0,1886.0,72.8
585,BERKSHIRE P,Gwinnett,1476.0,164.0,289.0,182.0,2.0,637.0,61.0,104.0,71.0,0.0,236.0,873.0,59.1
586,PINCKNEYVILLE X,Gwinnett,3412.0,287.0,798.0,664.0,10.0,1759.0,119.0,360.0,296.0,6.0,781.0,2540.0,74.4
607,SUWANEE F,Gwinnett,3966.0,351.0,1095.0,611.0,3.0,2060.0,109.0,403.0,216.0,1.0,729.0,2789.0,70.3
608,LAWRENCEVILLE L,Gwinnett,4802.0,369.0,1337.0,730.0,2.0,2438.0,121.0,485.0,269.0,0.0,875.0,3313.0,69.0
609,LAWRENCEVILLE M,Gwinnett,7255.0,606.0,2017.0,919.0,7.0,3549.0,162.0,564.0,311.0,1.0,1038.0,4587.0,63.2
610,BAYCREEK G,Gwinnett,6241.0,435.0,2005.0,813.0,1.0,3254.0,144.0,638.0,297.0,0.0,1079.0,4333.0,69.4
611,BAYCREEK H,Gwinnett,6811.0,511.0,2225.0,1015.0,4.0,3755.0,177.0,795.0,363.0,0.0,1335.0,5090.0,74.7
612,BAYCREEK I,Gwinnett,5899.0,400.0,1654.0,770.0,8.0,2832.0,156.0,603.0,296.0,1.0,1056.0,3888.0,65.9
613,BERKSHIRE Q,Gwinnett,1802.0,200.0,412.0,255.0,1.0,868.0,63.0,168.0,121.0,0.0,352.0,1220.0,67.7
614,GOODWINS I,Gwinnett,2501.0,287.0,628.0,430.0,0.0,1345.0,103.0,211.0,173.0,0.0,487.0,1832.0,73.3
615,DULUTH K,Gwinnett,2786.0,232.0,541.0,264.0,3.0,1040.0,64.0,154.0,98.0,0.0,316.0,1356.0,48.7
616,HARBINS C,Gwinnett,2850.0,356.0,867.0,304.0,3.0,1530.0,181.0,318.0,128.0,0.0,627.0,2157.0,75.7
617,ROCKYCREEK C,Gwinnett,4806.0,401.0,1537.0,586.0,2.0,2526.0,151.0,557.0,265.0,2.0,975.0,3501.0,72.8
618,LAWRENCEVILLE N,Gwinnett,2573.0,278.0,589.0,294.0,5.0,1166.0,92.0,160.0,121.0,2.0,375.0,1541.0,59.9
619,PUCKETTS D,Gwinnett,3622.0,257.0,1050.0,472.0,2.0,1781.0,136.0,454.0,213.0,2.0,805.0,2586.0,71.4
620,SUWANEE G,Gwinnett,3904.0,359.0,1086.0,547.0,0.0,1992.0,142.0,419.0,233.0,0.0,794.0,2786.0,71.4
621,BAYCREEK J,Gwinnett,4567.0,378.0,1316.0,621.0,4.0,2319.0,116.0,445.0,215.0,0.0,776.0,3095.0,67.8
606,SUGAR HILL G,Gwinnett,2814.0,244.0,794.0,384.0,1.0,1423.0,107.0,346.0,213.0,0.0,666.0,2089.0,74.2
605,SUWANEE H,Gwinnett,3785.0,291.0,1159.0,570.0,1.0,2021.0,143.0,502.0,294.0,0.0,939.0,2960.0,78.2
604,MARTINS K,Gwinnett,5352.0,535.0,1352.0,736.0,2.0,2625.0,154.0,384.0,255.0,2.0,795.0,3420.0,63.9
603,DULUTH I,Gwinnett,5105.0,349.0,1154.0,972.0,0.0,2475.0,124.0,504.0,489.0,0.0,1117.0,3592.0,70.4
587,ROCKBRIDGE G,Gwinnett,5799.0,394.0,1722.0,804.0,14.0,2934.0,129.0,511.0,277.0,1.0,918.0,3852.0,66.4
588,PINCKNEYVILLE Y,Gwinnett,3272.0,345.0,658.0,304.0,2.0,1309.0,111.0,159.0,94.0,1.0,365.0,1674.0,51.2
589,GOODWINS G,Gwinnett,2661.0,298.0,644.0,322.0,1.0,1265.0,104.0,194.0,97.0,3.0,398.0,1663.0,62.5
590,PINCKNEYVILLE Z,Gwinnett,1898.0,266.0,394.0,427.0,0.0,1087.0,117.0,163.0,178.0,0.0,458.0,1545.0,81.4
591,PINCKNEYVILLE A1,Gwinnett,2694.0,289.0,683.0,607.0,0.0,1579.0,107.0,244.0,250.0,0.0,601.0,2180.0,80.9
592,LAWRENCEVILLE J,Gwinnett,2249.0,251.0,562.0,248.0,3.0,1064.0,85.0,196.0,121.0,0.0,402.0,1466.0,65.2
593,GOODWINS H,Gwinnett,2796.0,268.0,736.0,405.0,2.0,1411.0,105.0,263.0,144.0,0.0,512.0,1923.0,68.8
548,GOODWINS D,Gwinnett,4406.0,517.0,997.0,581.0,5.0,2100.0,198.0,373.0,246.0,0.0,817.0,2917.0,66.2
594,DUNCANS B,Gwinnett,5387.0,534.0,1691.0,640.0,5.0,2870.0,231.0,660.0,288.0,1.0,1180.0,4050.0,75.2
596,SUWANEE E,Gwinnett,4256.0,327.0,1220.0,682.0,3.0,2232.0,149.0,563.0,275.0,0.0,987.0,3219.0,75.6
597,LAWRENCEVILLE K,Gwinnett,3282.0,318.0,871.0,523.0,0.0,1712.0,118.0,328.0,216.0,0.0,662.0,2374.0,72.3
598,HARBINS B,Gwinnett,4845.0,381.0,1459.0,479.0,3.0,2322.0,142.0,612.0,232.0,1.0,987.0,3309.0,68.3
599,BAYCREEK F,Gwinnett,4608.0,375.0,1409.0,606.0,6.0,2396.0,134.0,445.0,224.0,5.0,808.0,3204.0,69.5
600,PUCKETTS C,Gwinnett,3367.0,286.0,948.0,388.0,1.0,1623.0,96.0,416.0,148.0,0.0,660.0,2283.0,67.8
601,HOG MOUNTAIN C,Gwinnett,4292.0,384.0,1156.0,569.0,2.0,2111.0,146.0,448.0,225.0,0.0,819.0,2930.0,68.3
