,Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,calc_participation
956,North Baldwin,Baldwin,3515.0,300.0,1332.0,250.0,0.0,1882.0,92.0,412.0,275.0,0.0,779.0,10.0,28.0,10.0,0.0,48.0,2709.0,77.1
957,West Baldwin,Baldwin,1862.0,174.0,458.0,103.0,0.0,735.0,99.0,291.0,189.0,0.0,579.0,6.0,16.0,2.0,0.0,24.0,1338.0,71.9
958,East Hardwick,Baldwin,1313.0,47.0,65.0,27.0,0.0,139.0,121.0,206.0,169.0,0.0,496.0,8.0,5.0,6.0,0.0,19.0,654.0,49.8
960,Coopers,Baldwin,1574.0,275.0,429.0,64.0,0.0,768.0,61.0,138.0,108.0,0.0,307.0,5.0,13.0,9.0,0.0,27.0,1102.0,70.0
2160,Columbia,Banks,363.0,64.0,164.0,30.0,0.0,258.0,4.0,7.0,6.0,0.0,17.0,1.0,2.0,0.0,1.0,4.0,279.0,76.9
2165,Homer,Banks,1544.0,169.0,658.0,109.0,1.0,937.0,19.0,48.0,34.0,0.0,101.0,8.0,10.0,4.0,0.0,22.0,1060.0,68.7
2164,Hollingsworth,Banks,667.0,82.0,288.0,47.0,1.0,418.0,4.0,19.0,27.0,0.0,50.0,3.0,8.0,3.0,0.0,14.0,482.0,72.3
2163,Grove River,Banks,600.0,85.0,229.0,67.0,0.0,381.0,10.0,16.0,8.0,0.0,34.0,6.0,2.0,0.0,0.0,8.0,423.0,70.5
2162,Golden Hill,Banks,1008.0,126.0,345.0,67.0,0.0,538.0,14.0,30.0,33.0,2.0,79.0,3.0,3.0,0.0,0.0,6.0,623.0,61.8
2156,Anderson,Banks,1533.0,217.0,563.0,101.0,1.0,882.0,12.0,45.0,41.0,0.0,98.0,5.0,19.0,2.0,0.0,26.0,1006.0,65.6
