,Precinct,County,Registered Voters,Alan Toney (I)_Election Day Votes,Alan Toney (I)_Advanced Voting Votes,Alan Toney (I)_Absentee by Mail Votes,Alan Toney (I)_Provisional Votes,Alan Toney (I)_Choice Total,Total,calc_participation
302,SC08B,Fulton,4096.0,239.0,1355.0,570.0,8.0,2172.0,2172.0,53.0
301,SC07D,Fulton,2038.0,118.0,771.0,75.0,3.0,967.0,967.0,47.4
310,SC09B,Fulton,1920.0,107.0,643.0,315.0,0.0,1065.0,1065.0,55.5
300,SC07C,Fulton,41.0,1.0,8.0,3.0,0.0,12.0,12.0,29.3
298,SC05E,Fulton,688.0,41.0,232.0,112.0,3.0,388.0,388.0,56.4
297,SC05D,Fulton,2808.0,160.0,1134.0,311.0,2.0,1607.0,1607.0,57.2
296,SC05B,Fulton,3646.0,163.0,1572.0,410.0,5.0,2150.0,2150.0,59.0
295,SC05A,Fulton,721.0,52.0,292.0,81.0,4.0,429.0,429.0,59.5
294,SC04,Fulton,1080.0,81.0,321.0,139.0,4.0,545.0,545.0,50.5
293,SC02,Fulton,1426.0,33.0,620.0,220.0,0.0,873.0,873.0,61.2
292,SC01C,Fulton,2249.0,71.0,901.0,386.0,8.0,1366.0,1366.0,60.7
291,SC01B,Fulton,2088.0,108.0,1000.0,254.0,12.0,1374.0,1374.0,65.8
290,SC01A,Fulton,41.0,1.0,27.0,7.0,0.0,35.0,35.0,85.4
299,SC07A,Fulton,4506.0,215.0,1659.0,878.0,9.0,2761.0,2761.0,61.3
335,SC29A,Fulton,3154.0,233.0,821.0,450.0,6.0,1510.0,1510.0,47.9
311,SC09C,Fulton,1852.0,150.0,434.0,242.0,1.0,827.0,827.0,44.7
313,SC11A,Fulton,1656.0,127.0,462.0,239.0,19.0,847.0,847.0,51.1
333,SC23C,Fulton,2606.0,183.0,727.0,337.0,1.0,1248.0,1248.0,47.9
332,SC23B,Fulton,557.0,54.0,155.0,97.0,0.0,306.0,306.0,54.9
331,SC23A,Fulton,3854.0,284.0,942.0,566.0,8.0,1800.0,1800.0,46.7
330,SC212,Fulton,4244.0,225.0,1537.0,499.0,4.0,2265.0,2265.0,53.4
329,SC211,Fulton,1828.0,90.0,728.0,251.0,0.0,1069.0,1069.0,58.5
328,SC20,Fulton,2562.0,98.0,1322.0,310.0,20.0,1750.0,1750.0,68.3
327,SC19B,Fulton,1628.0,121.0,375.0,191.0,8.0,695.0,695.0,42.7
326,SC19A,Fulton,213.0,6.0,70.0,40.0,1.0,117.0,117.0,54.9
325,SC18C,Fulton,2100.0,68.0,894.0,336.0,0.0,1298.0,1298.0,61.8
312,SC10,Fulton,1912.0,140.0,359.0,165.0,6.0,670.0,670.0,35.0
324,SC18B,Fulton,915.0,34.0,421.0,141.0,0.0,596.0,596.0,65.1
322,SC17C,Fulton,1293.0,66.0,435.0,161.0,0.0,662.0,662.0,51.2
321,SC17B,Fulton,10.0,0.0,1.0,0.0,2.0,3.0,3.0,30.0
